Complex ID,GTFS Stop ID,Division,Line,Stop Name,Borough,Daytime Routes,Structure,GTFS Latitude,GTFS Longitude
605,A09,IND,8th Av - Fulton St,168 St,M,A C,Subway,40.840719,-73.939561
149,A10,IND,8th Av - Fulton St,163 St - Amsterdam Av,M,C,Subway,40.836013,-73.939892
150,A11,IND,8th Av - Fulton St,155 St,M,C,Subway,40.830518,-73.941514
151,A12,IND,8th Av - Fulton St,145 St,M,A C,Subway,40.824783,-73.944216
152,A14,IND,8th Av - Fulton St,135 St,M,B C,Subway,40.817894,-73.947649
153,A15,IND,8th Av - Fulton St,125 St,M,A B C D,Subway,40.811109,-73.952343
154,A16,IND,8th Av - Fulton St,116 St,M,B C,Subway,40.805085,-73.954882
155,A17,IND,8th Av - Fulton St,Cathedral Pkwy (110 St),M,B C,Subway,40.800603,-73.958161
156,A18,IND,8th Av - Fulton St,103 St,M,B C,Subway,40.796092,-73.961454
157,A19,IND,8th Av - Fulton St,96 St,M,B C,Subway,40.791642,-73.964696
158,A20,IND,8th Av - Fulton St,86 St,M,B C,Subway,40.785868,-73.968916
159,A21,IND,8th Av - Fulton St,81 St - Museum of Natural History,M,B C,Subway,40.781433,-73.972143
160,A22,IND,8th Av - Fulton St,72 St,M,B C,Subway,40.775594,-73.97641
614,A24,IND,8th Av - Fulton St,59 St - Columbus Circle,M,A B C D,Subway,40.768296,-73.981736
162,A25,IND,8th Av - Fulton St,50 St,M,C E,Subway,40.762456,-73.985984
611,A27,IND,8th Av - Fulton St,42 St - Port Authority Bus Terminal,M,A C E,Subway,40.757308,-73.989735
164,A28,IND,8th Av - Fulton St,34 St - Penn Station,M,A C E,Subway,40.752287,-73.993391
165,A30,IND,8th Av - Fulton St,23 St,M,C E,Subway,40.745906,-73.998041
618,A31,IND,8th Av - Fulton St,14 St,M,A C E,Subway,40.740893,-74.00169
167,A32,IND,8th Av - Fulton St,W 4 St,M,A C E,Subway,40.732338,-74.000495
168,A33,IND,8th Av - Fulton St,Spring St,M,C E,Subway,40.726227,-74.003739
169,A34,IND,8th Av - Fulton St,Canal St,M,A C E,Subway,40.720824,-74.005229
624,A36,IND,8th Av - Fulton St,Chambers St,M,A C,Subway,40.714111,-74.008585
628,A38,IND,8th Av - Fulton St,Fulton St,M,A C,Subway,40.710197,-74.007691
173,A40,IND,8th Av - Fulton St,High St,Bk,A C,Subway,40.699337,-73.990531
636,A41,IND,8th Av - Fulton St,Jay St - MetroTech,Bk,A C F,Subway,40.692338,-73.987342
175,A42,IND,8th Av - Fulton St,Hoyt - Schermerhorn Sts,Bk,A C G,Subway,40.688484,-73.985001
176,A43,IND,8th Av - Fulton St,Lafayette Av,Bk,C,Subway,40.686113,-73.973946
177,A44,IND,8th Av - Fulton St,Clinton - Washington Avs,Bk,C,Subway,40.683263,-73.965838
627,A45,IND,8th Av - Fulton St,Franklin Av,Bk,C,Subway,40.68138,-73.956848
179,A46,IND,8th Av - Fulton St,Nostrand Av,Bk,A C,Subway,40.680438,-73.950426
180,A47,IND,8th Av - Fulton St,Kingston - Throop Avs,Bk,C,Subway,40.679921,-73.940858
181,A48,IND,8th Av - Fulton St,Utica Av,Bk,A C,Subway,40.679364,-73.930729
182,A49,IND,8th Av - Fulton St,Ralph Av,Bk,C,Subway,40.678822,-73.920786
183,A50,IND,8th Av - Fulton St,Rockaway Av,Bk,C,Subway,40.67834,-73.911946
621,A51,IND,8th Av - Fulton St,Broadway Jct,Bk,A C,Subway,40.678334,-73.905316
185,A52,IND,8th Av - Fulton St,Liberty Av,Bk,C,Subway,40.674542,-73.896548
186,A53,IND,8th Av - Fulton St,Van Siclen Av,Bk,C,Subway,40.67271,-73.890358
187,A54,IND,8th Av - Fulton St,Shepherd Av,Bk,C,Subway,40.67413,-73.88075
188,A55,IND,8th Av - Fulton St,Euclid Av,Bk,A C,Subway,40.675377,-73.872106
