Complex ID,GTFS Stop ID,Division,Line,Stop Name,Borough,Daytime Routes,Structure,GTFS Latitude,GTFS Longitude
617,R31,BMT,4th Av,Atlantic Av - Barclays Ctr,Bk,D N R,Subway,40.683666,-73.97881
32,R36,BMT,4th Av,36 St,Bk,D N R,Subway,40.655144,-74.003549
58,D43,BMT,Sea Beach / West End / Culver / Brighton,Coney Island - Stillwell Av,Bk,D F N Q,Viaduct,40.577422,-73.981233
59,B12,BMT,West End,9 Av,Bk,D,Open Cut,40.646292,-73.994324
60,B13,BMT,West End,Fort Hamilton Pkwy,Bk,D,Elevated,40.640914,-73.994304
61,B14,BMT,West End,50 St,Bk,D,Elevated,40.63626,-73.994791
62,B15,BMT,West End,55 St,Bk,D,Elevated,40.631435,-73.995476
615,B16,BMT,West End,62 St,Bk,D,Elevated,40.626472,-73.996895
64,B17,BMT,West End,71 St,Bk,D,Elevated,40.619589,-73.998864
65,B18,BMT,West End,79 St,Bk,D,Elevated,40.613501,-74.00061
66,B19,BMT,West End,18 Av,Bk,D,Elevated,40.607954,-74.001736
67,B20,BMT,West End,20 Av,Bk,D,Elevated,40.604556,-73.998168
68,B21,BMT,West End,Bay Pkwy,Bk,D,Elevated,40.601875,-73.993728
69,B22,BMT,West End,25 Av,Bk,D,Elevated,40.597704,-73.986829
70,B23,BMT,West End,Bay 50 St,Bk,D,Elevated,40.588841,-73.983765
151,D13,IND,Concourse,145 St,M,B D,Subway,40.824783,-73.944216
153,A15,IND,8th Av - Fulton St,125 St,M,A B C D,Subway,40.811109,-73.952343
614,A24,IND,8th Av - Fulton St,59 St - Columbus Circle,M,A B C D,Subway,40.768296,-73.981736
167,D20,IND,6th Av - Culver,W 4 St,M,B D F M,Subway,40.732338,-74.000495
210,D01,IND,Concourse,Norwood - 205 St,Bx,D,Subway,40.874811,-73.878855
211,D03,IND,Concourse,Bedford Park Blvd,Bx,B D,Subway,40.873244,-73.887138
212,D04,IND,Concourse,Kingsbridge Rd,Bx,B D,Subway,40.866978,-73.893509
213,D05,IND,Concourse,Fordham Rd,Bx,B D,Subway,40.861296,-73.897749
214,D06,IND,Concourse,182-183 Sts,Bx,B D,Subway,40.856093,-73.900741
215,D07,IND,Concourse,Tremont Av,Bx,B D,Subway,40.85041,-73.905227
216,D08,IND,Concourse,174-175 Sts,Bx,B D,Subway,40.8459,-73.910136
217,D09,IND,Concourse,170 St,Bx,B D,Subway,40.839306,-73.9134
218,D10,IND,Concourse,167 St,Bx,B D,Subway,40.833771,-73.91844
604,D11,IND,Concourse,161 St - Yankee Stadium,Bx,B D,Subway,40.827905,-73.925651
220,D12,IND,Concourse,155 St,M,B D,Subway,40.830135,-73.938209
225,D15,IND,6th Av - Culver,47-50 Sts - Rockefeller Ctr,M,B D F M,Subway,40.758663,-73.981329
609,D16,IND,6th Av - Culver,42 St - Bryant Pk,M,B D F M,Subway,40.754222,-73.984569
607,D17,IND,6th Av - Culver,34 St - Herald Sq,M,B D F M,Subway,40.749719,-73.987823
619,D21,IND,6th Av - Culver,Broadway-Lafayette St,M,B D F M,Subway,40.725297,-73.996204
231,D22,IND,6th Av - Culver,Grand St,M,B D,Subway,40.718267,-73.993753
277,D14,IND,Queens Blvd,7 Av,M,B D E,Subway,40.762862,-73.981637
