Complex ID,GTFS Stop ID,Division,Line,Stop Name,Borough,Daytime Routes,Structure,GTFS Latitude,GTFS Longitude
162,A25,IND,8th Av - Fulton St,50 St,M,C E,Subway,40.762456,-73.985984
611,A27,IND,8th Av - Fulton St,42 St - Port Authority Bus Terminal,M,A C E,Subway,40.757308,-73.989735
164,A28,IND,8th Av - Fulton St,34 St - Penn Station,M,A C E,Subway,40.752287,-73.993391
165,A30,IND,8th Av - Fulton St,23 St,M,C E,Subway,40.745906,-73.998041
618,A31,IND,8th Av - Fulton St,14 St,M,A C E,Subway,40.740893,-74.00169
167,A32,IND,8th Av - Fulton St,W 4 St,M,A C E,Subway,40.732338,-74.000495
168,A33,IND,8th Av - Fulton St,Spring St,M,C E,Subway,40.726227,-74.003739
169,A34,IND,8th Av - Fulton St,Canal St,M,A C E,Subway,40.720824,-74.005229
624,E01,IND,8th Av - Fulton St,World Trade Center,M,E,Subway,40.712582,-74.009781
258,F05,IND,Queens Blvd,Briarwood - Van Wyck Blvd,Q,E F,Subway,40.709179,-73.820574
259,F06,IND,Queens Blvd,Kew Gardens - Union Tpke,Q,E F,Subway,40.714441,-73.831008
260,F07,IND,Queens Blvd,75 Av,Q,E F,Subway,40.718331,-73.837324
261,G08,IND,Queens Blvd,Forest Hills - 71 Av,Q,E F M R,Subway,40.721691,-73.844521
616,G14,IND,Queens Blvd,Jackson Hts - Roosevelt Av,Q,E F M R,Subway,40.746644,-73.891338
273,G21,IND,Queens Blvd,Queens Plaza,Q,E M R,Subway,40.748973,-73.937243
606,F09,IND,Queens Blvd,Court Sq,Q,E M,Subway,40.747846,-73.946
612,F11,IND,Queens Blvd,Lexington Av/53 St,M,E M,Subway,40.757552,-73.969055
276,F12,IND,Queens Blvd,5 Av/53 St,M,E M,Subway,40.760167,-73.975224
277,D14,IND,Queens Blvd,7 Av,M,B D E,Subway,40.762862,-73.981637
278,G05,IND,Queens - Archer,Jamaica Center - Parsons/Archer,Q,E J Z,Subway,40.702147,-73.801109
279,G06,IND,Queens - Archer,Sutphin Blvd - Archer Av - JFK Airport,Q,E J Z,Subway,40.700486,-73.807969
280,G07,IND,Queens - Archer,Jamaica - Van Wyck,Q,E,Subway,40.702566,-73.816859
