Complex ID,GTFS Stop ID,Division,Line,Stop Name,Borough,Daytime Routes,Structure,GTFS Latitude,GTFS Longitude
57,D42,BMT,Broadway - Brighton,W 8 St - NY Aquarium,Bk,F Q,Elevated,40.576127,-73.975939
58,D43,BMT,Sea Beach / West End / Culver / Brighton,Coney Island - Stillwell Av,Bk,D F N Q,Viaduct,40.577422,-73.981233
167,D20,IND,6th Av - Culver,W 4 St,M,B D F M,Subway,40.732338,-74.000495
636,A41,IND,8th Av - Fulton St,Jay St - MetroTech,Bk,A C F,Subway,40.692338,-73.987342
221,B04,IND,63rd St,21 St - Queensbridge,Q,F,Subway,40.754203,-73.942836
222,B06,IND,63rd St,Roosevelt Island,M,F,Subway,40.759145,-73.95326
223,B08,IND,63rd St,Lexington Av/63 St,M,F Q,Subway,40.764629,-73.966113
224,B10,IND,6th Av - Culver,57 St,M,F,Subway,40.763972,-73.97745
225,D15,IND,6th Av - Culver,47-50 Sts - Rockefeller Ctr,M,B D F M,Subway,40.758663,-73.981329
609,D16,IND,6th Av - Culver,42 St - Bryant Pk,M,B D F M,Subway,40.754222,-73.984569
607,D17,IND,6th Av - Culver,34 St - Herald Sq,M,B D F M,Subway,40.749719,-73.987823
228,D18,IND,6th Av - Culver,23 St,M,F M,Subway,40.742878,-73.992821
601,D19,IND,6th Av - Culver,14 St,M,F M,Subway,40.738228,-73.996209
619,D21,IND,6th Av - Culver,Broadway-Lafayette St,M,B D F M,Subway,40.725297,-73.996204
232,F14,IND,6th Av - Culver,2 Av,M,F,Subway,40.723402,-73.989938
625,F15,IND,6th Av - Culver,Delancey St,M,F,Subway,40.718611,-73.988114
234,F16,IND,6th Av - Culver,East Broadway,M,F,Subway,40.713715,-73.990173
235,F18,IND,6th Av - Culver,York St,Bk,F,Subway,40.701397,-73.986751
236,F20,IND,6th Av - Culver,Bergen St,Bk,F G,Subway,40.686145,-73.990862
237,F21,IND,6th Av - Culver,Carroll St,Bk,F G,Subway,40.680303,-73.995048
238,F22,IND,6th Av - Culver,Smith - 9 Sts,Bk,F G,Viaduct,40.67358,-73.995959
608,F23,IND,6th Av - Culver,4 Av,Bk,F G,Viaduct,40.670272,-73.989779
240,F24,IND,6th Av - Culver,7 Av,Bk,F G,Subway,40.666271,-73.980305
241,F25,IND,6th Av - Culver,15 St - Prospect Park,Bk,F G,Subway,40.660365,-73.979493
242,F26,IND,6th Av - Culver,Fort Hamilton Pkwy,Bk,F G,Subway,40.650782,-73.975776
243,F27,IND,6th Av - Culver,Church Av,Bk,F,Subway,40.644041,-73.979678
244,F29,IND,6th Av - Culver,Ditmas Av,Bk,F,Elevated,40.636119,-73.978172
245,F30,IND,6th Av - Culver,18 Av,Bk,F,Elevated,40.629755,-73.976971
246,F31,IND,6th Av - Culver,Avenue I,Bk,F,Elevated,40.625322,-73.976127
247,F32,IND,6th Av - Culver,Bay Pkwy,Bk,F,Elevated,40.620769,-73.975264
248,F33,IND,6th Av - Culver,Avenue N,Bk,F,Elevated,40.61514,-73.974197
249,F34,IND,6th Av - Culver,Avenue P,Bk,F,Elevated,40.608944,-73.973022
250,F35,IND,6th Av - Culver,Kings Hwy,Bk,F,Elevated,40.603217,-73.972361
251,F36,IND,6th Av - Culver,Avenue U,Bk,F,Elevated,40.596063,-73.973357
252,F38,IND,6th Av - Culver,Avenue X,Bk,F,Elevated,40.58962,-73.97425
253,F39,IND,6th Av - Culver,Neptune Av,Bk,F,Elevated,40.581011,-73.974574
254,F01,IND,Queens Blvd,Jamaica - 179 St,Q,F,Subway,40.712646,-73.783817
255,F02,IND,Queens Blvd,169 St,Q,F,Subway,40.71047,-73.793604
256,F03,IND,Queens Blvd,Parsons Blvd,Q,F,Subway,40.707564,-73.803326
257,F04,IND,Queens Blvd,Sutphin Blvd,Q,F,Subway,40.70546,-73.810708
258,F05,IND,Queens Blvd,Briarwood - Van Wyck Blvd,Q,E F,Subway,40.709179,-73.820574
259,F06,IND,Queens Blvd,Kew Gardens - Union Tpke,Q,E F,Subway,40.714441,-73.831008
260,F07,IND,Queens Blvd,75 Av,Q,E F,Subway,40.718331,-73.837324
261,G08,IND,Queens Blvd,Forest Hills - 71 Av,Q,E F M R,Subway,40.721691,-73.844521
616,G14,IND,Queens Blvd,Jackson Hts - Roosevelt Av,Q,E F M R,Subway,40.746644,-73.891338
