Complex ID,GTFS Stop ID,Division,Line,Stop Name,Borough,Daytime Routes,Structure,GTFS Latitude,GTFS Longitude
97,M11,BMT,Jamaica,Myrtle Av,Bk,J M Z,Elevated,40.697207,-73.935657
98,M12,BMT,Jamaica,Flushing Av,Bk,J M,Elevated,40.70026,-73.941126
99,M13,BMT,Jamaica,Lorimer St,Bk,J M,Elevated,40.703869,-73.947408
100,M14,BMT,Jamaica,Hewes St,Bk,J M,Elevated,40.70687,-73.953431
101,M16,BMT,Jamaica,Marcy Av,Bk,J M Z,Elevated,40.708359,-73.957757
625,M18,BMT,Jamaica,Essex St,M,J M Z,Subway,40.718315,-73.987437
108,M01,BMT,Myrtle Av,Middle Village - Metropolitan Av,Q,M,Elevated,40.711396,-73.889601
109,M04,BMT,Myrtle Av,Fresh Pond Rd,Q,M,Elevated,40.706186,-73.895877
110,M05,BMT,Myrtle Av,Forest Av,Q,M,Elevated,40.704423,-73.903077
111,M06,BMT,Myrtle Av,Seneca Av,Q,M,Elevated,40.702762,-73.90774
630,M08,BMT,Myrtle Av,Myrtle - Wyckoff Avs,Bk,M,Elevated,40.69943,-73.912385
113,M09,BMT,Myrtle Av,Knickerbocker Av,Bk,M,Elevated,40.698664,-73.919711
114,M10,BMT,Myrtle Av,Central Av,Bk,M,Elevated,40.697857,-73.927397
167,D20,IND,6th Av - Culver,W 4 St,M,B D F M,Subway,40.732338,-74.000495
225,D15,IND,6th Av - Culver,47-50 Sts - Rockefeller Ctr,M,B D F M,Subway,40.758663,-73.981329
609,D16,IND,6th Av - Culver,42 St - Bryant Pk,M,B D F M,Subway,40.754222,-73.984569
607,D17,IND,6th Av - Culver,34 St - Herald Sq,M,B D F M,Subway,40.749719,-73.987823
228,D18,IND,6th Av - Culver,23 St,M,F M,Subway,40.742878,-73.992821
601,D19,IND,6th Av - Culver,14 St,M,F M,Subway,40.738228,-73.996209
619,D21,IND,6th Av - Culver,Broadway-Lafayette St,M,B D F M,Subway,40.725297,-73.996204
261,G08,IND,Queens Blvd,Forest Hills - 71 Av,Q,E F M R,Subway,40.721691,-73.844521
262,G09,IND,Queens Blvd,67 Av,Q,M R,Subway,40.726523,-73.852719
263,G10,IND,Queens Blvd,63 Dr - Rego Park,Q,M R,Subway,40.729846,-73.861604
264,G11,IND,Queens Blvd,Woodhaven Blvd,Q,M R,Subway,40.733106,-73.869229
265,G12,IND,Queens Blvd,Grand Av - Newtown,Q,M R,Subway,40.737015,-73.877223
266,G13,IND,Queens Blvd,Elmhurst Av,Q,M R,Subway,40.742454,-73.882017
616,G14,IND,Queens Blvd,Jackson Hts - Roosevelt Av,Q,E F M R,Subway,40.746644,-73.891338
268,G15,IND,Queens Blvd,65 St,Q,M R,Subway,40.749669,-73.898453
269,G16,IND,Queens Blvd,Northern Blvd,Q,M R,Subway,40.752885,-73.906006
270,G18,IND,Queens Blvd,46 St,Q,M R,Subway,40.756312,-73.913333
271,G19,IND,Queens Blvd,Steinway St,Q,M R,Subway,40.756879,-73.92074
272,G20,IND,Queens Blvd,36 St,Q,M R,Subway,40.752039,-73.928781
273,G21,IND,Queens Blvd,Queens Plaza,Q,E M R,Subway,40.748973,-73.937243
606,F09,IND,Queens Blvd,Court Sq,Q,E M,Subway,40.747846,-73.946
612,F11,IND,Queens Blvd,Lexington Av/53 St,M,E M,Subway,40.757552,-73.969055
276,F12,IND,Queens Blvd,5 Av/53 St,M,E M,Subway,40.760167,-73.975224
