Complex ID,GTFS Stop ID,Division,Line,Stop Name,Borough,Daytime Routes,Structure,GTFS Latitude,GTFS Longitude
1,R01,BMT,Astoria,Astoria - Ditmars Blvd,Q,N W,Elevated,40.775036,-73.912034
2,R03,BMT,Astoria,Astoria Blvd,Q,N W,Elevated,40.770258,-73.917843
3,R04,BMT,Astoria,30 Av,Q,N W,Elevated,40.766779,-73.921479
4,R05,BMT,Astoria,Broadway,Q,N W,Elevated,40.76182,-73.925508
5,R06,BMT,Astoria,36 Av,Q,N W,Elevated,40.756804,-73.929575
6,R08,BMT,Astoria,39 Av,Q,N W,Elevated,40.752882,-73.932755
613,R11,BMT,Astoria,Lexington Av/59 St,M,N W R,Subway,40.76266,-73.967258
8,R13,BMT,Astoria,5 Av/59 St,M,N W R,Subway,40.764811,-73.973347
9,R14,BMT,Broadway - Brighton,57 St - 7 Av,M,N Q R W,Subway,40.764664,-73.980658
10,R15,BMT,Broadway - Brighton,49 St,M,N R W,Subway,40.759901,-73.984139
611,R16,BMT,Broadway - Brighton,Times Sq - 42 St,M,N Q R W,Subway,40.754672,-73.986754
607,R17,BMT,Broadway - Brighton,34 St - Herald Sq,M,N Q R W,Subway,40.749567,-73.98795
602,R20,BMT,Broadway - Brighton,14 St - Union Sq,M,N Q R W,Subway,40.735736,-73.990568
623,Q01,BMT,Manhattan Bridge,Canal St,M,N Q,Subway,40.718383,-74.00046
617,R31,BMT,4th Av,Atlantic Av - Barclays Ctr,Bk,D N R,Subway,40.683666,-73.97881
32,R36,BMT,4th Av,36 St,Bk,D N R,Subway,40.655144,-74.003549
35,R41,BMT,4th Av,59 St,Bk,N R,Subway,40.641362,-74.017881
58,D43,BMT,Sea Beach / West End / Culver / Brighton,Coney Island - Stillwell Av,Bk,D F N Q,Viaduct,40.577422,-73.981233
71,N02,BMT,Sea Beach,8 Av,Bk,N,Open Cut,40.635064,-74.011719
72,N03,BMT,Sea Beach,Fort Hamilton Pkwy,Bk,N,Open Cut,40.631386,-74.005351
615,N04,BMT,Sea Beach,New Utrecht Av,Bk,N,Open Cut,40.624842,-73.996353
74,N05,BMT,Sea Beach,18 Av,Bk,N,Open Cut,40.620671,-73.990414
75,N06,BMT,Sea Beach,20 Av,Bk,N,Open Cut,40.61741,-73.985026
76,N07,BMT,Sea Beach,Bay Pkwy,Bk,N,Open Cut,40.611815,-73.981848
77,N08,BMT,Sea Beach,Kings Hwy,Bk,N,Open Cut,40.603923,-73.980353
78,N09,BMT,Sea Beach,Avenue U,Bk,N,Open Cut,40.597473,-73.979137
79,N10,BMT,Sea Beach,86 St,Bk,N,Open Cut,40.592721,-73.97823
461,R09,BMT,Astoria,Queensboro Plaza,Q,N W,Elevated,40.750582,-73.940202
