Complex ID,GTFS Stop ID,Division,Line,Stop Name,Borough,Daytime Routes,Structure,GTFS Latitude,GTFS Longitude
613,R11,BMT,Astoria,Lexington Av/59 St,M,N W R,Subway,40.76266,-73.967258
8,R13,BMT,Astoria,5 Av/59 St,M,N W R,Subway,40.764811,-73.973347
9,R14,BMT,Broadway - Brighton,57 St - 7 Av,M,N Q R W,Subway,40.764664,-73.980658
10,R15,BMT,Broadway - Brighton,49 St,M,N R W,Subway,40.759901,-73.984139
611,R16,BMT,Broadway - Brighton,Times Sq - 42 St,M,N Q R W,Subway,40.754672,-73.986754
607,R17,BMT,Broadway - Brighton,34 St - Herald Sq,M,N Q R W,Subway,40.749567,-73.98795
13,R18,BMT,Broadway - Brighton,28 St,M,R W,Subway,40.745494,-73.988691
14,R19,BMT,Broadway - Brighton,23 St,M,R W,Subway,40.741303,-73.989344
602,R20,BMT,Broadway - Brighton,14 St - Union Sq,M,N Q R W,Subway,40.735736,-73.990568
16,R21,BMT,Broadway - Brighton,8 St - NYU,M,R W,Subway,40.730328,-73.992629
17,R22,BMT,Broadway - Brighton,Prince St,M,R W,Subway,40.724329,-73.997702
623,R23,BMT,Broadway,Canal St,M,R W,Subway,40.719527,-74.001775
20,R24,BMT,Broadway,City Hall,M,R W,Subway,40.713282,-74.006978
21,R25,BMT,Broadway,Cortlandt St,M,R W,Subway,40.710668,-74.011029
22,R26,BMT,Broadway,Rector St,M,R W,Subway,40.70722,-74.013342
635,R27,BMT,Broadway,Whitehall St,M,R W,Subway,40.703087,-74.012994
620,R28,BMT,Broadway,Court St,Bk,R,Subway,40.6941,-73.991777
636,R29,BMT,Broadway,Jay St - MetroTech,Bk,R,Subway,40.69218,-73.985942
26,R30,BMT,Broadway - Brighton,DeKalb Av,Bk,B Q R,Subway,40.690635,-73.981824
617,R31,BMT,4th Av,Atlantic Av - Barclays Ctr,Bk,D N R,Subway,40.683666,-73.97881
28,R32,BMT,4th Av,Union St,Bk,R,Subway,40.677316,-73.98311
608,R33,BMT,4th Av,9 St,Bk,R,Subway,40.670847,-73.988302
30,R34,BMT,4th Av,Prospect Av,Bk,R,Subway,40.665414,-73.992872
31,R35,BMT,4th Av,25 St,Bk,R,Subway,40.660397,-73.998091
32,R36,BMT,4th Av,36 St,Bk,D N R,Subway,40.655144,-74.003549
33,R39,BMT,4th Av,45 St,Bk,R,Subway,40.648939,-74.010006
34,R40,BMT,4th Av,53 St,Bk,R,Subway,40.645069,-74.014034
35,R41,BMT,4th Av,59 St,Bk,N R,Subway,40.641362,-74.017881
36,R42,BMT,4th Av,Bay Ridge Av,Bk,R,Subway,40.634967,-74.023377
37,R43,BMT,4th Av,77 St,Bk,R,Subway,40.629742,-74.02551
38,R44,BMT,4th Av,86 St,Bk,R,Subway,40.622687,-74.028398
39,R45,BMT,4th Av,Bay Ridge - 95 St,Bk,R,Subway,40.616622,-74.030876
261,G08,IND,Queens Blvd,Forest Hills - 71 Av,Q,E F M R,Subway,40.721691,-73.844521
262,G09,IND,Queens Blvd,67 Av,Q,M R,Subway,40.726523,-73.852719
263,G10,IND,Queens Blvd,63 Dr - Rego Park,Q,M R,Subway,40.729846,-73.861604
264,G11,IND,Queens Blvd,Woodhaven Blvd,Q,M R,Subway,40.733106,-73.869229
265,G12,IND,Queens Blvd,Grand Av - Newtown,Q,M R,Subway,40.737015,-73.877223
266,G13,IND,Queens Blvd,Elmhurst Av,Q,M R,Subway,40.742454,-73.882017
616,G14,IND,Queens Blvd,Jackson Hts - Roosevelt Av,Q,E F M R,Subway,40.746644,-73.891338
268,G15,IND,Queens Blvd,65 St,Q,M R,Subway,40.749669,-73.898453
269,G16,IND,Queens Blvd,Northern Blvd,Q,M R,Subway,40.752885,-73.906006
270,G18,IND,Queens Blvd,46 St,Q,M R,Subway,40.756312,-73.913333
271,G19,IND,Queens Blvd,Steinway St,Q,M R,Subway,40.756879,-73.92074
272,G20,IND,Queens Blvd,36 St,Q,M R,Subway,40.752039,-73.928781
273,G21,IND,Queens Blvd,Queens Plaza,Q,E M R,Subway,40.748973,-73.937243
