Complex ID,GTFS Stop ID,Division,Line,Stop Name,Borough,Daytime Routes,Structure,GTFS Latitude,GTFS Longitude
447,701,IRT,Flushing,Flushing - Main St,Q,7,Subway,40.7596,-73.83003
448,702,IRT,Flushing,Mets - Willets Point,Q,7,Elevated,40.754622,-73.845625
449,705,IRT,Flushing,111 St,Q,7,Elevated,40.75173,-73.855334
450,706,IRT,Flushing,103 St - Corona Plaza,Q,7,Elevated,40.749865,-73.8627
451,707,IRT,Flushing,Junction Blvd,Q,7,Elevated,40.749145,-73.869527
452,708,IRT,Flushing,90 St - Elmhurst Av,Q,7,Elevated,40.748408,-73.876613
453,709,IRT,Flushing,82 St - Jackson Hts,Q,7,Elevated,40.747659,-73.883697
616,710,IRT,Flushing,74 St - Broadway,Q,7,Elevated,40.746848,-73.891394
455,711,IRT,Flushing,69 St,Q,7,Elevated,40.746325,-73.896403
456,712,IRT,Flushing,Woodside - 61 St,Q,7,Elevated,40.74563,-73.902984
457,713,IRT,Flushing,52 St,Q,7,Elevated,40.744149,-73.912549
458,714,IRT,Flushing,46 St,Q,7,Elevated,40.743132,-73.918435
459,715,IRT,Flushing,40 St,Q,7,Elevated,40.743781,-73.924016
460,716,IRT,Flushing,33 St,Q,7,Elevated,40.744587,-73.930997
461,718,IRT,Flushing,Queensboro Plaza,Q,7,Elevated,40.750582,-73.940202
606,719,IRT,Flushing,Court Sq,Q,7,Elevated,40.747023,-73.945264
463,720,IRT,Flushing,Hunters Point Av,Q,7,Subway,40.742216,-73.948916
464,721,IRT,Flushing,Vernon Blvd - Jackson Av,Q,7,Subway,40.742626,-73.953581
610,723,IRT,Flushing,Grand Central - 42 St,M,7,Subway,40.751431,-73.976041
609,724,IRT,Flushing,5 Av,M,7,Subway,40.753821,-73.981963
611,725,IRT,Flushing,Times Sq - 42 St,M,7,Subway,40.755477,-73.987691
471,726,IRT,Flushing,34 St - 11 Av,M,7,Subway,40.755882,-74.00191
