Complex ID,GTFS Stop ID,Division,Line,Stop Name,Borough,Daytime Routes,Structure,GTFS Latitude,GTFS Longitude
175,A42,IND,8th Av - Fulton St,Hoyt - Schermerhorn Sts,Bk,A C G,Subway,40.688484,-73.985001
236,F20,IND,6th Av - Culver,Bergen St,Bk,F G,Subway,40.686145,-73.990862
237,F21,IND,6th Av - Culver,Carroll St,Bk,F G,Subway,40.680303,-73.995048
238,F22,IND,6th Av - Culver,Smith - 9 Sts,Bk,F G,Viaduct,40.67358,-73.995959
608,F23,IND,6th Av - Culver,4 Av,Bk,F G,Viaduct,40.670272,-73.989779
240,F24,IND,6th Av - Culver,7 Av,Bk,F G,Subway,40.666271,-73.980305
241,F25,IND,6th Av - Culver,15 St - Prospect Park,Bk,F G,Subway,40.660365,-73.979493
242,F26,IND,6th Av - Culver,Fort Hamilton Pkwy,Bk,F G,Subway,40.650782,-73.975776
606,G22,IND,Crosstown,Court Sq,Q,G,Subway,40.746554,-73.943832
282,G24,IND,Crosstown,21 St,Q,G,Subway,40.744065,-73.949724
283,G26,IND,Crosstown,Greenpoint Av,Bk,G,Subway,40.731352,-73.954449
284,G28,IND,Crosstown,Nassau Av,Bk,G,Subway,40.724635,-73.951277
629,G29,IND,Crosstown,Metropolitan Av,Bk,G,Subway,40.712792,-73.951418
286,G30,IND,Crosstown,Broadway,Bk,G,Subway,40.706092,-73.950308
287,G31,IND,Crosstown,Flushing Av,Bk,G,Subway,40.700377,-73.950234
288,G32,IND,Crosstown,Myrtle - Willoughby Avs,Bk,G,Subway,40.694568,-73.949046
289,G33,IND,Crosstown,Bedford - Nostrand Avs,Bk,G,Subway,40.689627,-73.953522
290,G34,IND,Crosstown,Classon Av,Bk,G,Subway,40.688873,-73.96007
291,G35,IND,Crosstown,Clinton - Washington Avs,Bk,G,Subway,40.688089,-73.966839
292,G36,IND,Crosstown,Fulton St,Bk,G,Subway,40.687119,-73.975375
